appname,datum,starttime,seconds,lat,long
WhatsApp,2016-09-14,2016-09-14 17:13:23,22,52.2960548,4.6700066
WhatsApp,2016-09-14,2016-09-14 17:42:06,6,52.2960548,4.6700066
Dropbox,2016-09-14,2016-09-14 21:34:45,8,52.2960548,4.6700066
Browser,2016-09-14,2016-09-14 21:35:14,122,52.2960548,4.6700066
Dropbox,2016-09-14,2016-09-14 21:38:37,5,52.2960548,4.6700066
Slack,2016-09-15,2016-09-15 08:45:05,80,52.2960548,4.6700066
WhatsApp,2016-09-15,2016-09-15 12:42:45,77,52.2960548,4.6700066
App9292,2016-09-15,2016-09-15 15:11:27,49,52.2960548,4.6700066
App9292,2016-09-15,2016-09-15 15:24:18,86,52.2960548,4.6700066
App9292,2016-09-15,2016-09-15 15:35:21,41,52.2875546,4.7224609
WhatsApp,2016-09-15,2016-09-15 15:36:05,11,52.2875546,4.7224609
App9292,2016-09-15,2016-09-15 15:44:46,44,52.3350969,4.8075357
NUnl,2016-09-15,2016-09-15 16:16:00,31,52.3608147,4.908111
App9292,2016-09-15,2016-09-15 17:38:25,23,52.3791399,4.89908
App9292,2016-09-15,2016-09-15 18:08:37,18,52.362191,4.8379491
NOS,2016-09-15,2016-09-15 18:13:22,199,52.3091764,4.7605542
NOS,2016-09-15,2016-09-15 18:17:04,517,52.3091764,4.7605542
WhatsApp,2016-09-16,2016-09-16 00:56:52,130,52.2958837,4.6698483
App9292,2016-09-16,2016-09-16 00:59:05,194,52.2958837,4.6698483
App9292,2016-09-16,2016-09-16 08:38:57,16,52.3289791,4.7940563
Browser,2016-09-16,2016-09-16 09:40:21,191,52.3592183,4.9079288
Browser,2016-09-16,2016-09-16 11:26:46,168,52.3904008,4.9056573
Chrome,2016-09-16,2016-09-16 11:29:37,144,52.3904008,4.9056573
Instellingen,2016-09-16,2016-09-16 11:32:42,5,52.3904008,4.9056573
Chrome,2016-09-16,2016-09-16 11:32:53,23,52.3904008,4.9056573
Chrome,2016-09-16,2016-09-16 11:35:03,3,52.3904008,4.9056573
Browser,2016-09-16,2016-09-16 11:49:07,3,52.3904008,4.9056573
Chrome,2016-09-16,2016-09-16 11:49:13,21,52.3904008,4.9056573
Instellingen,2016-09-16,2016-09-16 11:50:24,189,52.3904008,4.9056573
Instellingen,2016-09-16,2016-09-16 11:53:39,17,52.3904008,4.9056573
Instellingen,2016-09-16,2016-09-16 11:58:17,18,52.3904008,4.9056573
Instellingen,2016-09-16,2016-09-16 11:58:43,1,52.3904008,4.9056573
Instellingen,2016-09-16,2016-09-16 11:58:45,1,52.3904008,4.9056573
Instellingen,2016-09-16,2016-09-16 11:58:49,1,52.3904008,4.9056573
Instellingen,2016-09-16,2016-09-16 11:58:58,1,52.3904008,4.9056573
Chrome,2016-09-16,2016-09-16 12:07:06,1,52.3904008,4.9056573
Chrome,2016-09-16,2016-09-16 12:07:14,34,52.3904008,4.9056573
Chrome,2016-09-16,2016-09-16 12:07:50,2,52.3904008,4.9056573
Chrome,2016-09-16,2016-09-16 12:07:56,614,52.3904008,4.9056573
Chrome,2016-09-16,2016-09-16 12:18:12,1,52.3904008,4.9056573
NUnl,2016-09-16,2016-09-16 13:24:38,211,52.3913131,4.9131852
App9292,2016-09-16,2016-09-16 13:38:28,117,52.3913131,4.9131852
App9292,2016-09-16,2016-09-16 13:41:08,97,52.3913131,4.9131852
App9292,2016-09-16,2016-09-16 14:32:25,173,52.3913131,4.9131852
App9292,2016-09-16,2016-09-16 14:43:20,18,52.3913131,4.9131852
App9292,2016-09-16,2016-09-16 15:29:37,6,52.3913131,4.9131852
WhatsApp,2016-09-16,2016-09-16 15:30:08,3,52.3913131,4.9131852
WhatsApp,2016-09-16,2016-09-16 15:33:51,6,52.3913131,4.9131852
App9292,2016-09-16,2016-09-16 15:48:59,66,52.3788637,4.9014463
WhatsApp,2016-09-16,2016-09-16 15:58:50,188,52.3805065,4.9002075
WhatsApp,2016-09-16,2016-09-16 16:02:53,47,52.346996,4.9153236
WhatsApp,2016-09-16,2016-09-16 16:07:58,6,52.346996,4.9153236
WhatsApp,2016-09-16,2016-09-16 16:47:05,6,52.346996,4.9153236
App9292,2016-09-16,2016-09-16 17:18:22,49,52.3390593,4.9217956
App9292,2016-09-16,2016-09-16 17:23:25,14,52.3379135,4.88902
App9292,2016-09-16,2016-09-16 17:32:04,3,52.334692,4.8662844
WhatsApp,2016-09-16,2016-09-16 17:32:07,22,52.334692,4.8662844
WhatsApp,2016-09-16,2016-09-16 17:40:52,291,52.334692,4.8662844
WhatsApp,2016-09-16,2016-09-16 17:54:26,18,52.308464,4.7535241
NUnl,2016-09-16,2016-09-16 17:54:46,390,52.308464,4.7535241
WhatsApp,2016-09-16,2016-09-16 18:01:17,116,52.303107,4.7502689
NUnl,2016-09-16,2016-09-16 18:03:13,2,52.303107,4.7502689
NOS,2016-09-16,2016-09-16 18:03:23,196,52.303107,4.7502689
WhatsApp,2016-09-17,2016-09-17 20:16:12,147,52.2960624,4.6697
NOS,2016-09-18,2016-09-18 02:21:11,440,52.2960548,4.6700066
Slack,2016-09-19,2016-09-19 10:09:28,32,52.2956341,4.6688331
Slack,2016-09-19,2016-09-19 10:10:01,1,52.2956341,4.6688331
App9292,2016-09-19,2016-09-19 10:12:38,90,52.2956341,4.6688331
Browser,2016-09-19,2016-09-19 11:02:51,140,52.2956341,4.6688331
NUnl,2016-09-19,2016-09-19 11:05:14,67,52.2956341,4.6688331
App9292,2016-09-19,2016-09-19 11:30:36,20,52.3056563,4.7610799
NUnl,2016-09-19,2016-09-19 11:31:00,120,52.3056563,4.7610799
NOS,2016-09-19,2016-09-19 11:36:46,139,52.3316738,4.8015595
NOS,2016-09-19,2016-09-19 11:40:11,148,52.3316738,4.8015595
Slack,2016-09-19,2016-09-19 12:36:12,243,52.3599415,4.9096865
Slack,2016-09-19,2016-09-19 12:40:37,255,52.3599415,4.9096865
NOS,2016-09-19,2016-09-19 12:48:00,16,52.3599415,4.9096865
App9292,2016-09-19,2016-09-19 13:05:24,26,52.3805065,4.9002075
App9292,2016-09-19,2016-09-19 13:08:08,18,52.3805065,4.9002075
NUnl,2016-09-19,2016-09-19 13:12:34,134,52.3805065,4.9002075
App9292,2016-09-19,2016-09-19 13:14:53,29,52.3898926,4.90451
NUnl,2016-09-19,2016-09-19 13:15:26,275,52.3898926,4.90451
NOS,2016-09-19,2016-09-19 16:56:37,181,52.3904008,4.9056573
App9292,2016-09-19,2016-09-19 17:38:53,24,52.3904008,4.9056573
Instellingen,2016-09-19,2016-09-19 17:41:06,3,52.3904008,4.9056573
Instellingen,2016-09-19,2016-09-19 17:45:33,2,52.3904008,4.9056573
Instellingen,2016-09-19,2016-09-19 17:51:48,4,52.3904008,4.9056573
Browser,2016-09-19,2016-09-19 17:51:58,592,52.3904008,4.9056573
App9292,2016-09-19,2016-09-19 18:09:05,94,52.3840762,4.9057189
App9292,2016-09-19,2016-09-19 18:16:48,17,52.3784179,4.9004056
Browser,2016-09-19,2016-09-19 18:17:08,81,52.3784179,4.9004056
Browser,2016-09-19,2016-09-19 18:19:27,736,52.3784179,4.9004056
App9292,2016-09-19,2016-09-19 18:31:50,84,52.392357,4.8424025
WhatsApp,2016-09-19,2016-09-19 18:33:17,58,52.392357,4.8424025
NOS,2016-09-19,2016-09-19 18:34:18,151,52.392357,4.8424025
App9292,2016-09-19,2016-09-19 18:36:51,35,52.392357,4.8424025
WhatsApp,2016-09-19,2016-09-19 18:37:30,3,52.392357,4.8424025
Browser,2016-09-19,2016-09-19 18:43:25,70,52.3087202,4.7620171
App9292,2016-09-20,2016-09-20 08:41:58,35,52.2956341,4.6688331
NOS,2016-09-20,2016-09-20 09:07:42,707,52.3277387,4.7917723
NUnl,2016-09-20,2016-09-20 09:29:37,40,52.3819008,4.9023535
NOS,2016-09-20,2016-09-20 09:30:19,357,52.3819008,4.9023535
WhatsApp,2016-09-20,2016-09-20 12:03:05,22,52.3913131,4.9131852
NOS,2016-09-20,2016-09-20 12:46:49,42,52.3910946,4.9129617
Instellingen,2016-09-20,2016-09-20 16:44:33,4,52.3590519,4.9080238
App9292,2016-09-20,2016-09-20 17:05:36,31,52.3590519,4.9080238
WhatsApp,2016-09-20,2016-09-20 17:20:48,62,52.3590519,4.9080238
App9292,2016-09-20,2016-09-20 17:39:30,20,52.3590519,4.9080238
WhatsApp,2016-09-20,2016-09-20 17:39:53,13,52.3590519,4.9080238
WhatsApp,2016-09-20,2016-09-20 17:43:44,36,52.3590519,4.9080238
NOS,2016-09-20,2016-09-20 17:44:22,95,52.3590519,4.9080238
WhatsApp,2016-09-20,2016-09-20 17:45:58,13,52.3590519,4.9080238
NOS,2016-09-20,2016-09-20 17:46:11,27,52.3590519,4.9080238
WhatsApp,2016-09-20,2016-09-20 17:47:21,52,52.3091764,4.7605542
WhatsApp,2016-09-20,2016-09-20 18:07:21,8,52.2859499,4.7209489
Slack,2016-09-20,2016-09-20 19:28:49,59,52.2859499,4.7209489
WhatsApp,2016-09-20,2016-09-20 19:30:28,381,52.2859499,4.7209489
WhatsApp,2016-09-20,2016-09-20 19:39:08,77,52.2859499,4.7209489
WhatsApp,2016-09-20,2016-09-20 19:52:58,9,52.2859499,4.7209489
WhatsApp,2016-09-20,2016-09-20 20:57:43,21,52.2859499,4.7209489
App9292,2016-09-20,2016-09-20 20:59:32,691,52.2859499,4.7209489
App9292,2016-09-20,2016-09-20 21:59:58,11,52.2859499,4.7209489
WhatsApp,2016-09-21,2016-09-21 15:44:04,21,52.2960624,4.6697
Slack,2016-09-21,2016-09-21 15:45:10,84,52.2960624,4.6697
WhatsApp,2016-09-21,2016-09-21 17:50:49,71,52.2960624,4.6697
WhatsApp,2016-09-21,2016-09-21 17:53:45,119,52.2960624,4.6697
WhatsApp,2016-09-21,2016-09-21 17:56:05,100,52.2960624,4.6697
WhatsApp,2016-09-21,2016-09-21 18:02:40,164,52.2960624,4.6697
WhatsApp,2016-09-21,2016-09-21 19:12:19,15,52.2960624,4.6697
WhatsApp,2016-09-21,2016-09-21 19:12:49,16,52.2960624,4.6697
WhatsApp,2016-09-21,2016-09-21 20:28:47,11,52.2960624,4.6697
WhatsApp,2016-09-21,2016-09-21 20:29:05,2,52.2960624,4.6697
WhatsApp,2016-09-21,2016-09-21 20:29:15,88,52.2960624,4.6697
WhatsApp,2016-09-21,2016-09-21 20:35:38,216,52.2960624,4.6697
WhatsApp,2016-09-22,2016-09-22 09:43:17,93,52.2960624,4.6697
WhatsApp,2016-09-22,2016-09-22 09:47:55,30,52.2960624,4.6697
NUnl,2016-09-22,2016-09-22 09:48:28,41,52.2960624,4.6697
NOS,2016-09-22,2016-09-22 09:49:10,306,52.2960624,4.6697
WhatsApp,2016-09-22,2016-09-22 09:56:59,5,52.2960624,4.6697
WhatsApp,2016-09-22,2016-09-22 09:57:06,9,52.2960624,4.6697
App9292,2016-09-22,2016-09-22 10:24:03,37,52.2960624,4.6697
Slack,2016-09-22,2016-09-22 10:32:10,24,52.2960624,4.6697
WhatsApp,2016-09-22,2016-09-22 13:04:54,55,52.390196,4.90546
WhatsApp,2016-09-22,2016-09-22 13:06:26,6,52.390196,4.90546
NOS,2016-09-22,2016-09-22 13:13:33,13,52.390196,4.90546
WhatsApp,2016-09-22,2016-09-22 13:13:48,51,52.390196,4.90546
Browser,2016-09-22,2016-09-22 13:17:47,190,52.390196,4.90546
WhatsApp,2016-09-22,2016-09-22 13:20:57,12,52.390196,4.90546
WhatsApp,2016-09-22,2016-09-22 13:21:38,16,52.390196,4.90546
NOS,2016-09-22,2016-09-22 13:26:50,101,52.390196,4.90546
Browser,2016-09-22,2016-09-22 13:28:31,43,52.390196,4.90546
WhatsApp,2016-09-22,2016-09-22 15:44:07,13,52.390196,4.90546
WhatsApp,2016-09-22,2016-09-22 15:45:47,30,52.390196,4.90546
WhatsApp,2016-09-22,2016-09-22 15:50:05,71,52.390196,4.90546
WhatsApp,2016-09-22,2016-09-22 15:54:33,61,52.390196,4.90546
WhatsApp,2016-09-22,2016-09-22 16:08:29,11,52.390196,4.90546
NOS,2016-09-22,2016-09-22 16:17:26,45,52.390196,4.90546
NOS,2016-09-22,2016-09-22 16:23:28,2,52.390196,4.90546
NOS,2016-09-22,2016-09-22 16:47:29,91,52.390196,4.90546
NOS,2016-09-22,2016-09-22 16:53:21,4,52.390196,4.90546
App9292,2016-09-22,2016-09-22 16:53:29,59,52.390196,4.90546
WhatsApp,2016-09-22,2016-09-22 16:56:13,43,52.390196,4.90546
NUnl,2016-09-22,2016-09-22 16:56:58,39,52.390196,4.90546
NOS,2016-09-22,2016-09-22 16:57:38,19,52.390196,4.90546
WhatsApp,2016-09-22,2016-09-22 16:57:57,93,52.390196,4.90546
NOS,2016-09-22,2016-09-22 16:59:29,245,52.390196,4.90546
Browser,2016-09-22,2016-09-22 17:03:36,462,52.390196,4.90546
App9292,2016-09-22,2016-09-22 17:11:19,32,52.390196,4.90546
App9292,2016-09-22,2016-09-22 17:12:31,84,52.390196,4.90546
App9292,2016-09-22,2016-09-22 17:13:57,96,52.390196,4.90546
WhatsApp,2016-09-22,2016-09-22 17:15:34,37,52.390196,4.90546
Browser,2016-09-22,2016-09-22 17:16:13,824,52.390196,4.90546
WhatsApp,2016-09-22,2016-09-22 17:30:04,8,52.390196,4.90546
WhatsApp,2016-09-22,2016-09-22 19:14:58,5,52.339263,4.873405
Browser,2016-09-22,2016-09-22 19:15:03,22,52.339263,4.873405
WhatsApp,2016-09-22,2016-09-22 19:15:28,19,52.339263,4.873405
Browser,2016-09-22,2016-09-22 19:15:48,32,52.339263,4.873405
NOS,2016-09-22,2016-09-22 20:54:16,28,52.2960624,4.66975
NOS,2016-09-22,2016-09-22 21:00:54,4,52.2960624,4.66975
Shazam,2016-09-22,2016-09-22 21:01:05,50,52.2960624,4.66975
WhatsApp,2016-09-22,2016-09-22 21:24:46,4,52.2960624,4.66975
WhatsApp,2016-09-22,2016-09-22 21:24:51,26,52.2960624,4.66975
Browser,2016-09-22,2016-09-22 21:25:18,100,52.2960624,4.66975
Browser,2016-09-22,2016-09-22 21:28:48,7,52.2960624,4.66975
Browser,2016-09-22,2016-09-22 21:29:03,280,52.2960624,4.66975
App9292,2016-09-22,2016-09-22 23:39:22,112,52.2960624,4.66975
App9292,2016-09-23,2016-09-23 07:18:45,928,52.2960624,4.66975
App9292,2016-09-23,2016-09-23 07:58:24,4,52.2960624,4.66975
WhatsApp,2016-09-23,2016-09-23 07:58:29,66,52.2960624,4.66975
NOS,2016-09-23,2016-09-23 07:59:36,256,52.2960624,4.66975
WhatsApp,2016-09-23,2016-09-23 08:03:55,83,52.2960624,4.66975
WhatsApp,2016-09-23,2016-09-23 08:05:28,126,52.2960624,4.66975
Browser,2016-09-23,2016-09-23 08:07:34,4,52.2960624,4.66975
WhatsApp,2016-09-23,2016-09-23 08:07:37,14,52.2960624,4.66975
WhatsApp,2016-09-23,2016-09-23 08:17:26,450,52.2960624,4.66975
WhatsApp,2016-09-23,2016-09-23 11:29:15,31,52.2960624,4.66975
WhatsApp,2016-09-24,2016-09-24 12:31:06,125,52.2960624,4.66975
WhatsApp,2016-09-24,2016-09-24 12:36:47,9,52.2960624,4.66975
WhatsApp,2016-09-24,2016-09-24 16:33:53,8,52.2959493,4.6699
WhatsApp,2016-09-24,2016-09-24 21:00:10,235,52.2959493,4.6699
WhatsApp,2016-09-25,2016-09-25 17:55:26,153,52.2959493,4.6699
WhatsApp,2016-09-25,2016-09-25 18:00:02,13,52.2959493,4.6699
WhatsApp,2016-09-25,2016-09-25 18:00:20,110,52.2959493,4.6699
Browser,2016-09-26,2016-09-26 12:21:27,87,52.296,4.6700928
Browser,2016-09-26,2016-09-26 12:25:28,882,52.3380412,4.8580702
Browser,2016-09-26,2016-09-26 12:40:19,103,52.3304278,4.914175
Browser,2016-09-26,2016-09-26 12:48:00,11,52.356765,4.9129099
Browser,2016-09-26,2016-09-26 13:02:25,9,52.3599415,4.9096865
Slack,2016-09-26,2016-09-26 13:02:38,215,52.3599415,4.9096865
Slack,2016-09-26,2016-09-26 14:41:45,39,52.3599415,4.9096865
Slack,2016-09-26,2016-09-26 14:42:28,22,52.3599415,4.9096865
NOS,2016-09-26,2016-09-26 14:42:58,135,52.3599415,4.9096865
NUnl,2016-09-26,2016-09-26 15:14:11,64,52.3599415,4.9096865
NUnl,2016-09-26,2016-09-26 15:15:17,4,52.3599415,4.9096865
NUnl,2016-09-26,2016-09-26 15:17:07,22,52.3599415,4.9096865
Browser,2016-09-26,2016-09-26 15:17:34,69,52.3599415,4.9096865
App9292,2016-09-26,2016-09-26 15:30:36,46,52.3608147,4.908111
App9292,2016-09-26,2016-09-26 15:45:06,13,52.3279586,4.9082078
App9292,2016-09-26,2016-09-26 15:50:27,22,52.3407277,4.8731554
WhatsApp,2016-09-27,2016-09-27 10:41:44,1381,52.2959493,4.6699
WhatsApp,2016-09-27,2016-09-27 12:06:47,46,52.2959493,4.6699
WhatsApp,2016-09-27,2016-09-27 12:12:39,32,52.2959493,4.6699
WhatsApp,2016-09-27,2016-09-27 12:14:47,6,52.2959493,4.6699
Dropbox,2016-09-27,2016-09-27 21:27:48,6,52.2959493,4.6699
Dropbox,2016-09-27,2016-09-27 21:40:19,32,52.2959493,4.6699
Dropbox,2016-09-27,2016-09-27 21:40:55,4,52.2959493,4.6699
Dropbox,2016-09-27,2016-09-27 21:41:18,3,52.2959493,4.6699
Browser,2016-09-28,2016-09-28 08:29:56,24,52.2957893,4.6695
Browser,2016-09-28,2016-09-28 08:30:25,5,52.2957893,4.6695
Instellingen,2016-09-28,2016-09-28 08:31:04,177,52.2957893,4.6695
WhatsApp,2016-09-28,2016-09-28 12:02:27,15,52.2951843,4.6710742
WhatsApp,2016-09-28,2016-09-28 16:05:35,19,52.2951843,4.6710742
WhatsApp,2016-09-28,2016-09-28 18:56:13,7,52.2951843,4.6710742
WhatsApp,2016-09-29,2016-09-29 07:18:05,4,52.296,4.6700928
App9292,2016-09-29,2016-09-29 07:18:11,56,52.296,4.6700928
Browser,2016-09-29,2016-09-29 07:36:40,177,52.296,4.6700928
App9292,2016-09-29,2016-09-29 07:48:04,20,52.296,4.6700928
App9292,2016-09-29,2016-09-29 08:00:41,25,52.2853248,4.6948508
Browser,2016-09-29,2016-09-29 08:01:09,116,52.2853248,4.6948508
WhatsApp,2016-09-29,2016-09-29 08:25:35,70,52.3599415,4.9096865
WhatsApp,2016-09-29,2016-09-29 08:29:44,10,52.3583628,4.9065524
Browser,2016-09-29,2016-09-29 12:00:50,159,52.3583628,4.9065524
WhatsApp,2016-09-29,2016-09-29 12:06:17,60,52.3583628,4.9065524
WhatsApp,2016-09-29,2016-09-29 12:16:52,4,52.3583628,4.9065524
WhatsApp,2016-09-29,2016-09-29 13:05:18,9,52.3590519,4.9080238
WhatsApp,2016-09-29,2016-09-29 13:05:29,3,52.3590519,4.9080238
WhatsApp,2016-09-29,2016-09-29 15:23:29,110,52.3590519,4.9080238
WhatsApp,2016-09-29,2016-09-29 15:25:40,16,52.3590519,4.9080238
WhatsApp,2016-09-29,2016-09-29 15:28:10,10,52.3590519,4.9080238
WhatsApp,2016-09-29,2016-09-29 17:22:20,32,52.3600157,4.9099073
App9292,2016-09-29,2016-09-29 17:22:53,34,52.3600157,4.9099073
App9292,2016-09-29,2016-09-29 17:26:59,17,52.3600157,4.9099073
WhatsApp,2016-09-29,2016-09-29 17:27:17,108,52.3600157,4.9099073
App9292,2016-09-29,2016-09-29 17:29:05,60,52.3600157,4.9099073
WhatsApp,2016-09-29,2016-09-29 17:30:07,51,52.3600157,4.9099073
NOS,2016-09-29,2016-09-29 17:30:59,262,52.3600157,4.9099073
WhatsApp,2016-09-29,2016-09-29 17:35:21,32,52.3435154,4.9188542
NOS,2016-09-29,2016-09-29 17:35:53,27,52.3435154,4.9188542
WhatsApp,2016-09-29,2016-09-29 17:38:23,19,52.3435154,4.9188542
NUnl,2016-09-29,2016-09-29 17:38:45,131,52.3435154,4.9188542
WhatsApp,2016-09-29,2016-09-29 17:45:03,23,52.3356749,4.8909158
App9292,2016-09-29,2016-09-29 17:45:32,24,52.3356749,4.8909158
WhatsApp,2016-09-29,2016-09-29 17:46:05,26,52.3356749,4.8909158
WhatsApp,2016-09-29,2016-09-29 17:48:30,159,52.3356749,4.8909158
App9292,2016-09-29,2016-09-29 17:51:19,70,52.337088,4.8461417
Browser,2016-09-30,2016-09-30 07:49:05,96,52.2957893,4.6695
App9292,2016-09-30,2016-09-30 07:50:43,2,52.2957893,4.6695
Browser,2016-09-30,2016-09-30 07:50:47,4,52.2957893,4.6695
App9292,2016-09-30,2016-09-30 07:50:52,88,52.2957893,4.6695
App9292,2016-09-30,2016-09-30 08:15:33,35,52.29539,4.6845948
App9292,2016-09-30,2016-09-30 08:16:08,151,52.29539,4.6845948
Browser,2016-09-30,2016-09-30 08:33:40,152,52.3508911,4.8289269
NOS,2016-09-30,2016-09-30 08:36:19,350,52.3508911,4.8289269
NOS,2016-09-30,2016-09-30 09:03:43,274,52.3820024,4.9039358
NOS,2016-09-30,2016-09-30 09:08:18,2,52.3820024,4.9039358
WhatsApp,2016-09-30,2016-09-30 13:05:29,22,52.3904008,4.9056573
App9292,2016-09-30,2016-09-30 16:04:16,25,52.3904008,4.9056573
Browser,2016-09-30,2016-09-30 16:28:36,8,52.3904008,4.9056573
Browser,2016-09-30,2016-09-30 16:50:57,253,52.3778537,4.902953
Browser,2016-09-30,2016-09-30 17:02:07,223,52.3592183,4.9079288
WhatsApp,2016-09-30,2016-09-30 17:43:41,38,52.3590519,4.9080238
WhatsApp,2016-09-30,2016-09-30 17:44:21,3,52.3590519,4.9080238
NUnl,2016-09-30,2016-09-30 17:44:26,77,52.3590519,4.9080238
Browser,2016-09-30,2016-09-30 17:45:44,8,52.3590519,4.9080238
Browser,2016-09-30,2016-09-30 17:45:53,48,52.3590519,4.9080238
Browser,2016-09-30,2016-09-30 17:46:42,127,52.3390593,4.9217956
WhatsApp,2016-09-30,2016-09-30 17:48:55,9,52.3390593,4.9217956
App9292,2016-09-30,2016-09-30 17:50:50,61,52.3390593,4.9217956
NOS,2016-09-30,2016-09-30 17:51:53,78,52.3345177,4.9267954
WhatsApp,2016-09-30,2016-09-30 17:53:13,85,52.3345177,4.9267954
NOS,2016-09-30,2016-09-30 17:54:39,91,52.3345177,4.9267954
App9292,2016-09-30,2016-09-30 17:58:20,25,52.3382047,4.8780952
App9292,2016-09-30,2016-09-30 18:05:05,19,52.3382047,4.8780952
Browser,2016-09-30,2016-09-30 18:05:28,37,52.3382047,4.8780952
WhatsApp,2016-09-30,2016-09-30 18:06:09,104,52.3403476,4.8722899
WhatsApp,2016-09-30,2016-09-30 18:11:32,19,52.3403476,4.8722899
WhatsApp,2016-09-30,2016-09-30 18:11:56,32,52.3403476,4.8722899
WhatsApp,2016-09-30,2016-09-30 18:35:18,6,52.3347994,4.806656
WhatsApp,2016-09-30,2016-09-30 19:41:06,269,52.2882568,4.7108339
WhatsApp,2016-09-30,2016-09-30 19:45:55,160,52.2882568,4.7108339
WhatsApp,2016-09-30,2016-09-30 19:55:06,37,52.2882568,4.7108339
WhatsApp,2016-10-01,2016-10-01 14:36:28,68,52.2960624,4.6697
WhatsApp,2016-10-02,2016-10-02 16:54:12,136,52.2960624,4.6697
WhatsApp,2016-10-03,2016-10-03 10:08:43,19,52.2951843,4.6710742
App9292,2016-10-03,2016-10-03 11:05:19,17,52.2951843,4.6710742
Instellingen,2016-10-03,2016-10-03 11:14:53,5,52.2951843,4.6710742
WhatsApp,2016-10-03,2016-10-03 11:16:37,27,52.2998696,4.6808152
App9292,2016-10-03,2016-10-03 11:20:55,39,52.2998696,4.6808152
App9292,2016-10-03,2016-10-03 11:32:01,37,52.3051802,4.7597534
App9292,2016-10-03,2016-10-03 11:32:39,86,52.3397613,4.8402397
WhatsApp,2016-10-03,2016-10-03 12:04:14,26,52.3608147,4.908111
WhatsApp,2016-10-03,2016-10-03 12:05:01,137,52.3608147,4.908111
WhatsApp,2016-10-03,2016-10-03 12:57:24,64,52.3600157,4.9099073
WhatsApp,2016-10-03,2016-10-03 13:02:19,4,52.3600157,4.9099073
WhatsApp,2016-10-03,2016-10-03 13:12:26,4,52.3555382,4.9193334
WhatsApp,2016-10-03,2016-10-03 13:30:02,76,52.3561119,4.9265974
WhatsApp,2016-10-03,2016-10-03 13:32:58,298,52.3547679,4.921843
WhatsApp,2016-10-03,2016-10-03 13:48:20,147,52.3547679,4.921843
WhatsApp,2016-10-03,2016-10-03 13:55:31,103,52.3640386,4.9141397
WhatsApp,2016-10-03,2016-10-03 14:00:23,15,52.3640386,4.9141397
